Timestamp,Gender,Age,Whereabouts,Ethnic/Dialect Group,Language spoken most frequently at home:,Marital Status,Nationality,Religion,Sexual Orientation,Professional/Employment Status,Sector,Industry,"Income per annum (including bonuses, gross)",Present Highest Education Level,Intended Highest Education Level,"Economic Scale (Left-Right) [What is your Political Compass analysis? (Optional, but highly recommended)]","Social Scale (Up-Down) [What is your Political Compass analysis? (Optional, but highly recommended)]",On Abortion: It is morally right to terminate a pregnancy before normal childbirth.,On Euthanasia: It is the duty of doctors to keep people alive for as long as possible.,On LGBTQ: The LGBTQ should be given equal rights.,On Religion: Religion has no place in politics.,On Freedom of Speech: The Government should relax existing restrictions on freedom of speech.,On Ministerial Salary: Our ministers should be paid less than they are at the moment.,On Minimum Wage: There should be a minimal wage for all occupations.,MBTI 
1/1/2017 10:01,Male,20,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",Diploma,Bachelor's Degree,,,6,2,7,7,6,2,6,
1/1/2017 10:04,Male,20,Singapore,Malay,English,Single,Singapore Citizen,Islam,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",A level,Bachelor's Degree,,,6,4,4,7,4,4,4,INTJ
1/1/2017 10:05,Male,20,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other/Not Applicable,"Below $20,000",A level,Diploma,,Moderately Right (Economic) / Down (Social),5,3,7,6,5,4,3,
1/1/2017 10:07,Male,24,Singapore,Teochew,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",Bachelor's Degree,Master's Degree,Slightly Left (Economic) / Up (Social),Slightly Right (Economic) / Down (Social),5,3,6,6,5,6,4,INTP
1/1/2017 10:08,Male,31,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Salaried Employee,Private,Consulting,"$120,000 - $139,999",NITEC (including Higher and Master),NITEC (including Higher and Master),Slightly Right (Economic) / Down (Social),Moderately Left (Economic) / Up (Social),6,3,7,7,5,5,4,INTJ
1/1/2017 10:12,Male,17,Singapore,Chinese,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,,O level,Master's Degree,Slightly Left (Economic) / Up (Social),Slightly Right (Economic) / Down (Social),5,2,6,7,5,3,4,
1/1/2017 10:12,Male,24,Singapore,Cantonese,English,Single,Singapore Citizen,Buddhism,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",Diploma,Bachelor's Degree,Slightly Left (Economic) / Up (Social),,6,2,7,7,4,4,4,
1/1/2017 10:14,Male,23,Singapore,Teochew,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",Diploma,Master's Degree,Slightly Left (Economic) / Up (Social),Slightly Left (Economic) / Up (Social),7,1,7,7,7,7,5,INFP
1/1/2017 10:14,Male,18,Singapore,Don't know,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Waiting for NS,Not Applicable,Other/Not Applicable,,A level,Bachelor's Degree,,,7,1,2,7,1,1,3,
1/1/2017 10:18,Male,26,Singapore,Hindi - North Indian,Chinese/Indian dialect,Attached,Singapore PR (1st Gen),Hinduism,Heterosexual (straight),Salaried Employee,Private,General Management / Work,"$100,000 - $199,999",Bachelor's Degree,Master's Degree,Slightly Right (Economic) / Down (Social),Moderately Left (Economic) / Up (Social),7,1,7,7,5,3,7,INTJ
1/1/2017 10:25,Male,18,Singapore,Teochew,Mandarin,Single,Singapore Citizen,Buddhism,Heterosexual (straight),Student,Not Applicable,Other: Student,"$20,000 - $39,999",O level,Bachelor's Degree,Slightly Left (Economic) / Up (Social),Slightly Left (Economic) / Up (Social),6,3,7,7,7,7,6,ISFP
1/1/2017 10:26,Female,17,Singapore,Hakka,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Advertising / Media,"$100,000 - $199,999",O level,Bachelor's Degree,,,6,4,7,7,5,7,3,INFP
1/1/2017 10:28,Male,29,Singapore,Tamil,English,Married,Singapore PR (1st Gen),No Religion,Heterosexual (straight),Self-employed,Private,Advertising / Media,"$60,000 - $79,999",Bachelor's Degree,Master's Degree,Slightly Right (Economic) / Down (Social),Strongly Left (Economic) / Up (Social),6,3,7,7,7,7,7,ENTP
1/1/2017 10:31,Female,26,Singapore,Hokkien,English,Attached,Foreigner (Non-Expatriate),"Christianity, Roman Catholic",Heterosexual (straight),Salaried Employee,Public,Healthcare / Pharmaceutrical,"$40,000 - $59,999",Bachelor's Degree,Master's Degree,Moderately Left (Economic) / Up (Social),Moderately Left (Economic) / Up (Social),6,1,7,7,6,7,7,INTP
1/1/2017 10:32,Male,18,Singapore,Hokkien,English,Single,Singapore Citizen,Buddhism,Heterosexual (straight),Student,Not Applicable,Other: Student,,O level,Bachelor's Degree,Slightly Left (Economic) / Up (Social),Slightly Left (Economic) / Up (Social),6,2,6,7,4,5,2,INTJ
1/1/2017 10:33,Female,18,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,Buddhism,Heterosexual (straight),Student,Public,Other: Student,,A level,Bachelor's Degree,,,4,4,6,7,3,2,5,ESFP
1/1/2017 10:33,Female,28,Singapore,Hokkien,English,Single,Singapore Citizen,"Christianity, Roman Catholic",Queer,Salaried Employee,Private,Administrative / Secretarial,"$20,000 - $39,999",Diploma,Bachelor's Degree,,,5,7,7,7,6,7,4,ISFJ
1/1/2017 10:34,Female,20,Singapore,Teochew,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Salaried Employee,Private,Education & Training,"Below $20,000",Diploma,Bachelor's Degree,,,4,4,7,7,4,7,7,INTJ
1/1/2017 10:35,Male,28,Singapore,Hinghwa,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Salaried Employee,Public,Legal,"$80,000 - $99,999",Bachelor's Degree,Master's Degree,Moderately Right (Economic) / Down (Social),Moderately Left (Economic) / Up (Social),6,2,6,6,7,4,4,ENTP
1/1/2017 10:35,Male,16,Singapore,Hainanese,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",O level,Master's Degree,Moderately Left (Economic) / Up (Social),Moderately Left (Economic) / Up (Social),5,5,7,7,5,5,5,
1/1/2017 10:37,Female,35,Singapore,Hainanese,English,Married,Singapore Citizen,No Religion,Heterosexual (straight),Salaried Employee,Private,Legal,"$140,000 - $159,999",Master's Degree,Master's Degree,,Moderately Right (Economic) / Down (Social),6,5,4,7,4,5,4,INFP
1/1/2017 10:38,Male,20,Singapore,Cantonese,English,Single,Singapore Citizen,"Christianity, Roman Catholic",Heterosexual (straight),Student,Not Applicable,Healthcare / Pharmaceutrical,"Below $20,000",A level,Master's Degree,,,3,3,4,6,3,2,5,INTJ
1/1/2017 10:38,Male,19,"Overseas, studying",Japanese,Japanese,Single,Foreigner (Expatriate),No Religion,Heterosexual (straight),Student,Not Applicable,Other/Not Applicable,"Below $20,000",IB,Master's Degree,,,6,3,7,6,4,2,5,INTJ
1/1/2017 10:39,Male,14,Singapore,Teochew,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",PSLE,Master's Degree,Moderately Left (Economic) / Up (Social),Moderately Left (Economic) / Up (Social),7,5,7,7,6,7,7,INTP
1/1/2017 10:41,Male,18,Singapore,Hainanese,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,,O level,PhD,,,7,4,7,7,6,7,7,
1/1/2017 10:42,Male,38,Singapore,Hokkien,English,Single,2,Nietzscherian ethics,Herbivore,Salaried Employee,Private,Healthcare / Pharmaceutrical,"$80,000 - $99,999",Master's Degree,Househusband,Strongly Left,Slightly Up,2,1,7,7,7,7,6,INTP
1/1/2017 10:43,Male,25,Singapore,Hainanese,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Salaried Employee,Private,Engineering,"$20,000 - $39,999",O level,Diploma,,,4,2,6,6,4,4,6,INTJ
1/1/2017 10:43,Male,20,Singapore,Teochew,English,Single,Singapore Citizen,No Religion,Bisexual,Salaried Employee,Private,Advertising / Media,"Below $20,000",A level,Master's Degree,Moderately Right (Economic) / Down (Social),Moderately Right (Economic) / Down (Social),7,3,6,4,3,3,4,ENTJ
1/1/2017 10:43,Male,32,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,No Religion,Homosexual (gay/lesbian),Salaried Employee,Private,Information Technology,"$120,000 - $139,999",Bachelor's Degree,Bachelor's Degree,,,4,1,7,7,7,7,4,ISTJ
1/1/2017 10:44,Female,30,Singapore,Cantonese,English,Married,Singapore Citizen,"Christianity, Roman Catholic",Heterosexual (straight),Salaried Employee,Private,Healthcare / Pharmaceutrical,"$60,000 - $79,999",Master's Degree,Master's Degree,Moderately Right,Slightly Up,1,6,1,2,6,2,5,INTJ
1/1/2017 10:44,Female,23,Singapore,Javanese,English,Single,Singapore PR (1st Gen),No Religion,Heterosexual (straight),Salaried Employee,Private,Insurance,"$40,000 - $59,999",Bachelor's Degree,Master's Degree,,,6,3,7,7,5,3,3,INTP
1/1/2017 10:46,Female,22,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,Agnostic,Bisexual,Salaried Employee,Private,Healthcare / Pharmaceutrical,"$20,000 - $39,999",Diploma,Bachelor's Degree,,,7,2,7,7,4,2,4,INFJ
