year,level_1,level_2,value
2013,Total,"Total",100
2013,Total,"Below 1,000",7.1
2013,Total,"1,000 - 1,999",6.6
2013,Total,"2,000 - 2,999",6.8
2013,Total,"3,000 - 3,999",6.7
2013,Total,"4,000 - 4,999",7
2013,Total,"5,000 - 5,999",6.1
2013,Total,"6,000 - 7,999",12.7
2013,Total,"8,000 - 9,999",10.1
2013,Total,"10,000 - 11,999",8.4
2013,Total,"12,000 - 14,999",8.4
2013,Total,"15,000 - 19,999",8.5
2013,Total,"20,000 & Over",11.5
2013,Total,"Average Monthly Household Income ($)",10503
2013,Total,"Number of Resident Households",1189793
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"Total",100
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"1,000 - 1,999",0.3
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"2,000 - 2,999",1.1
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"3,000 - 3,999",1.9
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"4,000 - 4,999",2.2
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"5,000 - 5,999",2.4
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"6,000 - 7,999",6.4
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"8,000 - 9,999",7.7
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"10,000 - 11,999",9.7
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"12,000 - 14,999",12.5
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"15,000 - 19,999",17.6
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"20,000 & Over",38.4
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"Average Monthly Household Income ($)",22328
2013,Occupation of Main Income Earner who is Working - Senior Officials & Managers,"Number of Resident Households",157507
2013,Occupation of Main Income Earner who is Working - Professionals,"Total",100
2013,Occupation of Main Income Earner who is Working - Professionals,"Below 1,000",0.1
2013,Occupation of Main Income Earner who is Working - Professionals,"1,000 - 1,999",0.2
2013,Occupation of Main Income Earner who is Working - Professionals,"2,000 - 2,999",0.5
2013,Occupation of Main Income Earner who is Working - Professionals,"3,000 - 3,999",0.8
2013,Occupation of Main Income Earner who is Working - Professionals,"4,000 - 4,999",2.9
2013,Occupation of Main Income Earner who is Working - Professionals,"5,000 - 5,999",3.1
2013,Occupation of Main Income Earner who is Working - Professionals,"6,000 - 7,999",10.5
2013,Occupation of Main Income Earner who is Working - Professionals,"8,000 - 9,999",13.2
2013,Occupation of Main Income Earner who is Working - Professionals,"10,000 - 11,999",13.1
2013,Occupation of Main Income Earner who is Working - Professionals,"12,000 - 14,999",15.3
2013,Occupation of Main Income Earner who is Working - Professionals,"15,000 - 19,999",18.7
2013,Occupation of Main Income Earner who is Working - Professionals,"20,000 & Over",21.5
2013,Occupation of Main Income Earner who is Working - Professionals,"Average Monthly Household Income ($)",15930
2013,Occupation of Main Income Earner who is Working - Professionals,"Number of Resident Households",235808
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"Total",100
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"Below 1,000",0.3
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"1,000 - 1,999",0.9
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"2,000 - 2,999",2.7
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"3,000 - 3,999",5.8
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"4,000 - 4,999",8.4
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"5,000 - 5,999",7.5
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"6,000 - 7,999",20.3
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"8,000 - 9,999",15.9
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"10,000 - 11,999",12.8
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"12,000 - 14,999",11.5
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"15,000 - 19,999",7.5
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"20,000 & Over",6.4
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"Average Monthly Household Income ($)",9967
2013,Occupation of Main Income Earner who is Working - Associate Professionals & Technicians,"Number of Resident Households",269895
2013,Occupation of Main Income Earner who is Working - Clerical Workers,"Total",100
2013,Occupation of Main Income Earner who is Working - Clerical Workers,"Below 1,000",0.3
2013,Occupation of Main Income Earner who is Working - Clerical Workers,"1,000 - 1,999",2.4
2013,Occupation of Main Income Earner who is Working - Clerical Workers,"2,000 - 2,999",8.8
